i,t,m,Rural
0001-001,2012-13,Mainland Rural,1
0001-001,2014-15,Mainland Rural,1
0001-004,2014-15,Mainland Rural,1
0002-001,2012-13,Mainland Rural,1
0002-001,2014-15,Mainland Rural,1
0003-001,2012-13,Mainland Rural,1
0003-001,2014-15,Mainland Rural,1
0003-010,2012-13,Dar Es Salaam,0
0004-001,2014-15,Mainland Rural,1
0005-001,2012-13,Mainland Rural,1
0005-001,2014-15,Mainland Rural,1
0006-001,2012-13,Mainland Rural,1
0007-001,2012-13,Mainland Rural,1
0007-001,2014-15,Mainland Rural,1
0008-001,2012-13,Mainland Rural,1
0008-001,2014-15,Mainland Rural,1
0009-001,2012-13,Mainland Rural,1
0009-001,2014-15,Mainland Rural,1
0010-001,2012-13,Mainland Rural,1
0010-001,2014-15,Mainland Rural,1
0011-001,2012-13,Mainland Rural,1
0011-001,2014-15,Mainland Rural,1
0011-004,2012-13,Mainland Rural,1
0012-001,2012-13,Mainland Rural,1
0012-001,2014-15,Mainland Rural,1
0012-003,2014-15,Mainland Rural,1
0013-001,2012-13,Mainland Rural,1
0013-001,2014-15,Mainland Rural,1
0014-001,2012-13,Mainland Rural,1
0014-001,2014-15,Mainland Rural,1
0014-007,2012-13,Mainland Rural,1
0015-001,2012-13,Mainland Rural,1
0015-001,2014-15,Mainland Rural,1
0016-001,2012-13,Mainland Rural,1
0016-001,2014-15,Mainland Rural,1
0017-001,2012-13,Mainland Rural,1
0017-001,2014-15,Mainland Rural,1
0017-002,2014-15,Mainland Rural,1
0018-001,2012-13,Mainland Rural,1
0018-001,2014-15,Mainland Rural,1
0019-001,2012-13,Mainland Rural,1
0019-001,2014-15,Mainland Rural,1
0019-003,2012-13,Mainland Rural,1
0020-001,2012-13,Mainland Rural,1
0020-001,2014-15,Mainland Rural,1
0021-001,2012-13,Mainland Rural,1
0021-001,2014-15,Mainland Other Urban,0
0022-001,2012-13,Mainland Rural,1
0022-001,2014-15,Mainland Rural,1
0023-001,2012-13,Mainland Rural,1
0023-001,2014-15,Mainland Rural,1
0024-001,2012-13,Mainland Rural,1
0024-001,2014-15,Mainland Other Urban,0
0025-001,2012-13,Mainland Other Urban,0
0025-001,2014-15,Mainland Rural,1
0026-001,2012-13,Mainland Rural,1
0026-001,2014-15,Mainland Rural,1
0027-001,2012-13,Mainland Rural,1
0027-001,2014-15,Mainland Other Urban,0
0028-001,2012-13,Mainland Rural,1
0028-001,2014-15,Mainland Other Urban,0
0029-001,2012-13,Mainland Rural,1
0029-001,2014-15,Mainland Other Urban,0
0030-001,2012-13,Mainland Rural,1
0030-001,2014-15,Mainland Other Urban,0
0031-001,2012-13,Mainland Rural,1
0031-001,2014-15,Mainland Other Urban,0
0032-001,2012-13,Mainland Other Urban,0
0032-001,2014-15,Mainland Other Urban,0
0033-001,2012-13,Mainland Rural,1
0033-001,2014-15,Mainland Other Urban,0
0034-001,2012-13,Mainland Rural,1
0034-001,2014-15,Dar Es Salaam,0
0034-003,2012-13,Dar Es Salaam,0
0035-001,2012-13,Mainland Other Urban,0
0036-001,2012-13,Mainland Rural,1
0036-001,2014-15,Mainland Other Urban,0
0037-001,2012-13,Mainland Rural,1
0037-001,2014-15,Mainland Other Urban,0
0038-001,2012-13,Mainland Rural,1
0038-001,2014-15,Mainland Other Urban,0
0038-002,2012-13,Mainland Rural,1
0039-001,2012-13,Mainland Rural,1
0039-001,2014-15,Mainland Rural,1
0039-004,2012-13,Mainland Rural,1
0040-001,2012-13,Mainland Rural,1
0040-001,2014-15,Mainland Other Urban,0
0041-001,2014-15,Mainland Other Urban,0
0041-002,2012-13,Mainland Other Urban,0
0041-004,2014-15,Mainland Rural,1
0041-006,2012-13,Mainland Other Urban,0
0042-001,2012-13,Mainland Other Urban,0
0042-001,2014-15,Mainland Other Urban,0
0043-001,2012-13,Mainland Other Urban,0
0043-001,2014-15,Mainland Rural,1
0043-002,2012-13,Dar Es Salaam,0
0044-001,2012-13,Mainland Other Urban,0
0044-001,2014-15,Mainland Rural,1
0045-001,2012-13,Mainland Rural,1
0045-001,2014-15,Mainland Other Urban,0
0046-001,2012-13,Mainland Other Urban,0
0046-001,2014-15,Mainland Rural,1
0046-002,2012-13,Mainland Other Urban,0
0047-001,2012-13,Mainland Other Urban,0
0047-001,2014-15,Mainland Other Urban,0
0048-001,2012-13,Mainland Other Urban,0
0048-001,2014-15,Mainland Rural,1
0048-002,2012-13,Mainland Other Urban,0
0049-001,2012-13,Mainland Other Urban,0
0049-001,2014-15,Mainland Rural,1
0050-001,2014-15,Mainland Rural,1
0051-001,2012-13,Mainland Other Urban,0
0051-001,2014-15,Mainland Rural,1
0051-002,2012-13,Mainland Other Urban,0
0051-003,2012-13,Mainland Other Urban,0
0052-001,2012-13,Mainland Other Urban,0
0053-001,2012-13,Mainland Other Urban,0
0054-001,2012-13,Mainland Other Urban,0
0054-001,2014-15,Mainland Rural,1
0055-001,2012-13,Mainland Other Urban,0
0055-001,2014-15,Mainland Rural,1
0055-002,2014-15,Dar Es Salaam,0
0055-003,2014-15,Mainland Rural,1
0056-001,2012-13,Mainland Rural,1
0056-001,2014-15,Mainland Rural,1
0057-001,2012-13,Mainland Rural,1
0057-001,2014-15,Mainland Rural,1
0058-001,2012-13,Mainland Rural,1
0058-001,2014-15,Mainland Rural,1
0059-001,2012-13,Mainland Rural,1
0059-001,2014-15,Mainland Rural,1
0059-002,2012-13,Mainland Rural,1
0060-001,2012-13,Mainland Other Urban,0
0060-001,2014-15,Mainland Rural,1
0060-002,2014-15,Dar Es Salaam,0
0061-001,2012-13,Mainland Rural,1
0061-001,2014-15,Mainland Other Urban,0
0062-001,2012-13,Mainland Rural,1
0062-001,2014-15,Mainland Rural,1
0062-004,2014-15,Mainland Rural,1
0063-001,2012-13,Dar Es Salaam,0
0063-001,2014-15,Mainland Rural,1
0064-001,2012-13,Mainland Rural,1
0064-001,2014-15,Mainland Rural,1
0065-001,2012-13,Mainland Rural,1
0065-001,2014-15,Mainland Rural,1
0066-001,2012-13,Mainland Rural,1
0066-001,2014-15,Mainland Rural,1
0066-002,2014-15,Mainland Other Urban,0
0066-003,2014-15,Mainland Rural,1
0067-001,2012-13,Mainland Rural,1
0067-001,2014-15,Mainland Other Urban,0
0067-004,2014-15,Mainland Other Urban,0
0068-001,2012-13,Mainland Rural,1
0068-001,2014-15,Mainland Rural,1
0069-001,2012-13,Mainland Rural,1
0069-002,2014-15,Mainland Rural,1
0070-001,2012-13,Mainland Rural,1
0071-001,2012-13,Mainland Rural,1
0071-001,2014-15,Mainland Rural,1
0072-001,2012-13,Mainland Rural,1
0072-001,2014-15,Mainland Other Urban,0
0072-003,2012-13,Mainland Rural,1
0072-003,2014-15,Mainland Other Urban,0
0073-001,2012-13,Mainland Rural,1
0073-001,2014-15,Mainland Rural,1
0073-002,2012-13,Mainland Rural,1
0074-001,2012-13,Mainland Rural,1
0074-001,2014-15,Mainland Rural,1
0075-001,2012-13,Mainland Rural,1
0075-001,2014-15,Mainland Rural,1
0075-003,2012-13,Mainland Rural,1
0076-001,2012-13,Mainland Rural,1
0076-003,2012-13,Mainland Rural,1
0077-001,2012-13,Mainland Rural,1
0077-001,2014-15,Mainland Rural,1
0077-003,2014-15,Mainland Rural,1
0078-001,2012-13,Mainland Rural,1
0078-001,2014-15,Mainland Rural,1
0079-001,2012-13,Mainland Rural,1
0079-001,2014-15,Mainland Rural,1
0080-001,2012-13,Mainland Rural,1
0080-001,2014-15,Mainland Rural,1
0081-001,2012-13,Mainland Rural,1
0081-001,2014-15,Mainland Rural,1
0081-004,2014-15,Mainland Rural,1
0082-001,2012-13,Mainland Rural,1
0082-001,2014-15,Mainland Rural,1
0082-003,2014-15,Mainland Other Urban,0
0082-004,2014-15,Mainland Other Urban,0
0082-005,2014-15,Dar Es Salaam,0
0083-001,2012-13,Mainland Rural,1
0083-001,2014-15,Mainland Rural,1
0084-001,2012-13,Mainland Rural,1
0084-001,2014-15,Mainland Rural,1
0084-002,2014-15,Mainland Rural,1
0085-001,2012-13,Mainland Rural,1
0085-001,2014-15,Mainland Rural,1
0085-002,2014-15,Mainland Other Urban,0
0085-003,2014-15,Mainland Other Urban,0
0086-001,2012-13,Mainland Rural,1
0086-001,2014-15,Dar Es Salaam,0
0087-001,2012-13,Mainland Rural,1
0087-001,2014-15,Mainland Rural,1
0087-003,2012-13,Mainland Rural,1
0088-001,2012-13,Mainland Rural,1
0088-001,2014-15,Mainland Rural,1
0089-001,2012-13,Mainland Rural,1
0089-001,2014-15,Mainland Rural,1
0089-002,2014-15,Mainland Rural,1
0090-001,2012-13,Mainland Rural,1
0090-001,2014-15,Mainland Rural,1
0090-003,2012-13,Mainland Rural,1
0091-001,2012-13,Mainland Rural,1
0091-001,2014-15,Mainland Rural,1
0091-102,2012-13,Mainland Other Urban,0
0092-001,2012-13,Mainland Rural,1
0092-001,2014-15,Mainland Other Urban,0
0093-001,2012-13,Mainland Rural,1
0093-001,2014-15,Dar Es Salaam,0
0094-001,2012-13,Mainland Rural,1
0094-002,2014-15,Mainland Rural,1
0095-001,2012-13,Mainland Rural,1
0095-001,2014-15,Mainland Rural,1
0095-002,2012-13,Mainland Rural,1
0095-004,2012-13,Mainland Rural,1
0096-001,2012-13,Mainland Rural,1
0096-001,2014-15,Mainland Other Urban,0
0096-002,2014-15,Mainland Rural,1
0097-001,2012-13,Mainland Rural,1
0097-001,2014-15,Mainland Other Urban,0
0097-002,2012-13,Mainland Rural,1
0098-001,2012-13,Mainland Rural,1
0098-001,2014-15,Dar Es Salaam,0
0099-001,2012-13,Mainland Rural,1
0099-001,2014-15,Mainland Rural,1
0099-003,2012-13,Mainland Rural,1
0099-003,2014-15,Dar Es Salaam,0
0099-008,2012-13,Mainland Rural,1
0099-008,2014-15,Mainland Rural,1
0100-001,2012-13,Mainland Rural,1
0100-001,2014-15,Mainland Rural,1
0101-001,2012-13,Mainland Rural,1
0101-001,2014-15,Mainland Rural,1
0101-002,2014-15,Mainland Other Urban,0
0101-003,2014-15,Mainland Rural,1
1010140020171,2008-09,Mainland Rural,1
101014002017101,2010-11,Mainland Rural,1
1010140020284,2008-09,Mainland Rural,1
101014002028401,2010-11,Mainland Rural,1
1010140020297,2008-09,Mainland Rural,1
101014002029701,2010-11,Mainland Rural,1
101014002029704,2010-11,Dar Es Salaam,0
1010140020409,2008-09,Mainland Rural,1
101014002040901,2010-11,Mainland Rural,1
1010140020471,2008-09,Mainland Rural,1
101014002047101,2010-11,Mainland Rural,1
1010140020551,2008-09,Mainland Rural,1
101014002055101,2010-11,Mainland Rural,1
1010140020761,2008-09,Mainland Rural,1
101014002076101,2010-11,Mainland Rural,1
1010140020762,2008-09,Mainland Rural,1
101014002076201,2010-11,Mainland Rural,1
0102-001,2012-13,Mainland Rural,1
0102-001,2014-15,Mainland Other Urban,0
1020030030004,2008-09,Mainland Rural,1
102003003000401,2010-11,Mainland Rural,1
1020030030022,2008-09,Mainland Rural,1
102003003002201,2010-11,Mainland Rural,1
1020030030140,2008-09,Mainland Rural,1
102003003014001,2010-11,Mainland Rural,1
1020030030161,2008-09,Mainland Rural,1
102003003016101,2010-11,Mainland Rural,1
1020030030174,2008-09,Mainland Rural,1
102003003017401,2010-11,Mainland Rural,1
102003003017407,2010-11,Mainland Rural,1
1020030030200,2008-09,Mainland Rural,1
102003003020001,2010-11,Mainland Rural,1
1020030030430,2008-09,Mainland Rural,1
102003003043001,2010-11,Mainland Rural,1
1020030030479,2008-09,Mainland Rural,1
102003003047901,2010-11,Mainland Rural,1
1020170030001,2008-09,Mainland Rural,1
102017003000101,2010-11,Mainland Rural,1
102017003000104,2010-11,Mainland Rural,1
1020170030017,2008-09,Mainland Rural,1
102017003001701,2010-11,Mainland Rural,1
1020170030022,2008-09,Mainland Rural,1
102017003002201,2010-11,Mainland Rural,1
1020170030048,2008-09,Mainland Rural,1
102017003004801,2010-11,Mainland Rural,1
1020170030100,2008-09,Mainland Rural,1
102017003010001,2010-11,Mainland Rural,1
1020170030209,2008-09,Mainland Rural,1
102017003020901,2010-11,Mainland Other Urban,0
1020170030241,2008-09,Mainland Rural,1
102017003024101,2010-11,Mainland Rural,1
1020170030246,2008-09,Mainland Rural,1
102017003024601,2010-11,Mainland Rural,1
0103-001,2012-13,Mainland Rural,1
0103-001,2014-15,Mainland Rural,1
0103-003,2014-15,Mainland Rural,1
1030130040161,2008-09,Mainland Rural,1
103013004016101,2010-11,Mainland Rural,1
1030130040219,2008-09,Mainland Rural,1
103013004021901,2010-11,Mainland Rural,1
1030130040259,2008-09,Mainland Rural,1
103013004025901,2010-11,Mainland Rural,1
1030130040346,2008-09,Mainland Rural,1
103013004034601,2010-11,Mainland Rural,1
1030130040468,2008-09,Mainland Rural,1
103013004046801,2010-11,Mainland Other Urban,0
1030130040685,2008-09,Mainland Rural,1
103013004068501,2010-11,Mainland Rural,1
1030130040739,2008-09,Mainland Rural,1
103013004073901,2010-11,Mainland Rural,1
1030130040745,2008-09,Mainland Rural,1
103013004074501,2010-11,Mainland Other Urban,0
1030133010068,2008-09,Mainland Other Urban,0
103013301006801,2010-11,Mainland Rural,1
1030133010092,2008-09,Mainland Other Urban,0
103013301009201,2010-11,Mainland Rural,1
1030133010175,2008-09,Mainland Other Urban,0
103013301017501,2010-11,Mainland Rural,1
1030133010188,2008-09,Mainland Other Urban,0
103013301018801,2010-11,Mainland Rural,1
103013301018803,2010-11,Mainland Rural,1
1030133010300,2008-09,Mainland Other Urban,0
103013301030001,2010-11,Mainland Other Urban,0
1030133010322,2008-09,Mainland Other Urban,0
103013301032201,2010-11,Mainland Other Urban,0
1030133010411,2008-09,Mainland Other Urban,0
103013301041101,2010-11,Mainland Other Urban,0
103013301041102,2010-11,Mainland Other Urban,0
1030133010652,2008-09,Mainland Other Urban,0
103013301065201,2010-11,Mainland Rural,1
0104-001,2012-13,Mainland Rural,1
0104-001,2014-15,Mainland Other Urban,0
0104-008,2014-15,Mainland Rural,1
1040173040004,2008-09,Mainland Other Urban,0
104017304000401,2010-11,Mainland Other Urban,0
1040173040017,2008-09,Mainland Other Urban,0
104017304001701,2010-11,Mainland Other Urban,0
1040173040022,2008-09,Mainland Other Urban,0
104017304002201,2010-11,Mainland Other Urban,0
1040173040034,2008-09,Mainland Other Urban,0
104017304003401,2010-11,Mainland Other Urban,0
104017304003406,2010-11,Mainland Rural,1
104017304003407,2010-11,Mainland Other Urban,0
1040173040041,2008-09,Mainland Other Urban,0
104017304004102,2010-11,Mainland Other Urban,0
1040173040086,2008-09,Mainland Other Urban,0
104017304008601,2010-11,Mainland Other Urban,0
1040173040092,2008-09,Mainland Other Urban,0
104017304009201,2010-11,Mainland Other Urban,0
1040173040094,2008-09,Mainland Other Urban,0
104017304009401,2010-11,Mainland Other Urban,0
104017304009402,2010-11,Mainland Rural,1
1040310010030,2008-09,Mainland Rural,1
104031001003001,2010-11,Mainland Rural,1
1040310010102,2008-09,Mainland Rural,1
104031001010201,2010-11,Mainland Rural,1
1040310010174,2008-09,Mainland Rural,1
104031001017402,2010-11,Mainland Rural,1
104031001017403,2010-11,Mainland Other Urban,0
1040310010180,2008-09,Mainland Rural,1
104031001018001,2010-11,Mainland Rural,1
1040310010462,2008-09,Mainland Rural,1
104031001046201,2010-11,Mainland Rural,1
1040310010482,2008-09,Mainland Rural,1
104031001048201,2010-11,Dar Es Salaam,1
1040310010745,2008-09,Mainland Rural,1
104031001074501,2010-11,Mainland Rural,1
104031001074502,2010-11,Mainland Rural,1
1040310011128,2008-09,Mainland Rural,1
104031001112801,2010-11,Mainland Rural,1
104031001112804,2010-11,Mainland Rural,1
1040380030347,2008-09,Mainland Rural,1
104038003034701,2010-11,Mainland Rural,1
1040380030396,2008-09,Mainland Rural,1
104038003039601,2010-11,Mainland Rural,1
1040380030460,2008-09,Mainland Rural,1
104038003046001,2010-11,Mainland Rural,1
1040380030693,2008-09,Mainland Rural,1
104038003069301,2010-11,Mainland Rural,1
1040380030768,2008-09,Mainland Rural,1
104038003076801,2010-11,Mainland Rural,1
104038003076803,2010-11,Mainland Rural,1
1040380030854,2008-09,Mainland Rural,1
104038003085401,2010-11,Mainland Rural,1
1040380031057,2008-09,Mainland Rural,1
104038003105701,2010-11,Mainland Rural,1
1040380031108,2008-09,Mainland Rural,1
104038003110801,2010-11,Mainland Rural,1
0105-001,2012-13,Mainland Rural,1
0105-001,2014-15,Mainland Other Urban,0
0105-005,2014-15,Mainland Rural,1
1050090030114,2008-09,Mainland Rural,1
105009003011401,2010-11,Mainland Rural,1
1050090030347,2008-09,Mainland Rural,1
105009003034701,2010-11,Mainland Rural,1
1050090030396,2008-09,Mainland Rural,1
105009003039601,2010-11,Mainland Rural,1
1050090030460,2008-09,Mainland Rural,1
105009003046001,2010-11,Mainland Rural,1
1050090030599,2008-09,Mainland Rural,1
105009003059901,2010-11,Mainland Rural,1
1050090030693,2008-09,Mainland Rural,1
105009003069301,2010-11,Mainland Rural,1
1050090030768,2008-09,Mainland Rural,1
105009003076801,2010-11,Mainland Rural,1
1050090031057,2008-09,Mainland Rural,1
105009003105701,2010-11,Mainland Rural,1
1050100040151,2008-09,Mainland Rural,1
105010004015101,2010-11,Mainland Rural,1
105010004015105,2010-11,Mainland Rural,1
1050100040166,2008-09,Mainland Rural,1
105010004016601,2010-11,Mainland Rural,1
1050100040272,2008-09,Mainland Rural,1
105010004027201,2010-11,Mainland Rural,1
1050100040335,2008-09,Mainland Rural,1
105010004033501,2010-11,Mainland Rural,1
1050100040403,2008-09,Mainland Rural,1
105010004040301,2010-11,Mainland Rural,1
1050100040480,2008-09,Mainland Rural,1
105010004048001,2010-11,Mainland Rural,1
1050100040517,2008-09,Mainland Rural,1
105010004051701,2010-11,Mainland Rural,1
1050100040692,2008-09,Mainland Rural,1
105010004069201,2010-11,Mainland Rural,1
1050290020161,2008-09,Mainland Rural,1
105029002016101,2010-11,Mainland Rural,1
1050290020224,2008-09,Mainland Rural,1
105029002022401,2010-11,Mainland Rural,1
1050290020322,2008-09,Mainland Rural,1
105029002032201,2010-11,Mainland Rural,1
1050290020557,2008-09,Mainland Rural,1
105029002055701,2010-11,Mainland Rural,1
1050290020649,2008-09,Mainland Rural,1
105029002064901,2010-11,Mainland Rural,1
1050290020690,2008-09,Mainland Rural,1
105029002069001,2010-11,Mainland Rural,1
1050290020691,2008-09,Mainland Rural,1
105029002069101,2010-11,Mainland Rural,1
1050290021238,2008-09,Mainland Rural,1
105029002123801,2010-11,Mainland Rural,1
0106-001,2012-13,Mainland Rural,1
0106-001,2014-15,Mainland Other Urban,0
0107-001,2012-13,Mainland Rural,1
0107-001,2014-15,Mainland Other Urban,0
0108-001,2012-13,Mainland Rural,1
0108-001,2014-15,Mainland Rural,1
0109-001,2012-13,Mainland Rural,1
0109-001,2014-15,Mainland Rural,1
0109-003,2012-13,Mainland Rural,1
0110-001,2012-13,Mainland Rural,1
0110-001,2014-15,Mainland Rural,1
0111-001,2012-13,Mainland Rural,1
0111-001,2014-15,Mainland Rural,1
0112-001,2012-13,Mainland Rural,1
0112-001,2014-15,Mainland Rural,1
0113-001,2014-15,Mainland Rural,1
0113-002,2012-13,Mainland Rural,1
0113-002,2014-15,Mainland Rural,1
0113-003,2012-13,Mainland Rural,1
0113-004,2012-13,Mainland Rural,1
0114-001,2012-13,Mainland Rural,1
0114-001,2014-15,Mainland Rural,1
0115-001,2012-13,Mainland Rural,1
0115-001,2014-15,Mainland Rural,1
0116-001,2012-13,Mainland Rural,1
0117-001,2012-13,Mainland Rural,1
0118-001,2012-13,Mainland Rural,1
0118-001,2014-15,Mainland Rural,1
0119-001,2012-13,Mainland Rural,1
0119-001,2014-15,Mainland Rural,1
0120-001,2014-15,Mainland Rural,1
0120-002,2012-13,Mainland Rural,1
0120-003,2012-13,Mainland Rural,1
0121-001,2012-13,Mainland Rural,1
0121-002,2014-15,Mainland Rural,1
0121-004,2014-15,Mainland Rural,1
0122-001,2012-13,Mainland Other Urban,0
0122-001,2014-15,Mainland Rural,1
0123-001,2012-13,Mainland Rural,1
0123-001,2014-15,Mainland Other Urban,0
0124-001,2012-13,Mainland Other Urban,0
0124-001,2014-15,Mainland Other Urban,0
0124-002,2014-15,Mainland Other Urban,0
0125-001,2012-13,Mainland Other Urban,0
0125-001,2014-15,Mainland Other Urban,0
0126-001,2012-13,Mainland Other Urban,0
0126-001,2014-15,Mainland Other Urban,0
0126-002,2012-13,Mainland Rural,1
0127-001,2012-13,Mainland Rural,1
0127-001,2014-15,Mainland Other Urban,0
0127-003,2014-15,Mainland Other Urban,0
0127-005,2014-15,Mainland Other Urban,0
0128-001,2012-13,Mainland Rural,1
0128-001,2014-15,Mainland Other Urban,0
0129-001,2012-13,Mainland Rural,1
0129-001,2014-15,Mainland Other Urban,0
0129-003,2012-13,Mainland Rural,1
0129-003,2014-15,Mainland Other Urban,0
0129-004,2014-15,Mainland Other Urban,0
0130-001,2014-15,Mainland Other Urban,0
0131-001,2012-13,Mainland Rural,1
0131-001,2014-15,Mainland Rural,1
0132-001,2012-13,Mainland Rural,1
0132-001,2014-15,Mainland Other Urban,0
0133-001,2012-13,Mainland Rural,1
0133-001,2014-15,Mainland Other Urban,0
0133-003,2012-13,Mainland Rural,1
0134-001,2012-13,Mainland Rural,1
0134-001,2014-15,Mainland Rural,1
0134-006,2014-15,Dar Es Salaam,0
0135-001,2012-13,Mainland Rural,1
0136-001,2012-13,Mainland Rural,1
0136-001,2014-15,Mainland Rural,1
0137-001,2012-13,Mainland Rural,1
0137-001,2014-15,Mainland Rural,1
0137-003,2014-15,Mainland Rural,1
0138-001,2012-13,Mainland Other Urban,0
0138-002,2014-15,Mainland Rural,1
0139-001,2012-13,Mainland Other Urban,0
0139-001,2014-15,Mainland Rural,1
0139-003,2014-15,Mainland Rural,1
0140-001,2012-13,Mainland Rural,1
0140-002,2014-15,Mainland Rural,1
0141-001,2012-13,Mainland Other Urban,0
0141-001,2014-15,Mainland Rural,1
0141-007,2012-13,Mainland Other Urban,0
0142-001,2012-13,Mainland Other Urban,0
0142-001,2014-15,Mainland Rural,1
0142-002,2014-15,Mainland Rural,1
0142-003,2012-13,Mainland Other Urban,0
0142-006,2014-15,Mainland Rural,1
0143-001,2012-13,Mainland Rural,1
0143-001,2014-15,Mainland Rural,1
0144-001,2012-13,Mainland Other Urban,0
0144-001,2014-15,Mainland Other Urban,0
0145-001,2012-13,Mainland Other Urban,0
0145-002,2014-15,Mainland Other Urban,0
0146-001,2012-13,Mainland Other Urban,0
0146-001,2014-15,Mainland Other Urban,0
0147-001,2012-13,Mainland Other Urban,0
0147-001,2014-15,Mainland Other Urban,0
0148-001,2012-13,Mainland Other Urban,0
0148-001,2014-15,Mainland Other Urban,0
0149-001,2012-13,Mainland Rural,1
0149-001,2014-15,Mainland Other Urban,0
0150-001,2012-13,Mainland Rural,1
0151-001,2012-13,Mainland Rural,1
0151-001,2014-15,Mainland Rural,1
0151-006,2014-15,Mainland Other Urban,0
0152-001,2012-13,Mainland Rural,1
0152-001,2014-15,Dar Es Salaam,0
0153-001,2014-15,Mainland Other Urban,0
0154-001,2012-13,Mainland Rural,1
0154-001,2014-15,Mainland Other Urban,0
0154-003,2012-13,Mainland Rural,1
0155-001,2012-13,Mainland Rural,1
0155-001,2014-15,Mainland Other Urban,0
0156-001,2012-13,Mainland Rural,1
0156-001,2014-15,Mainland Other Urban,0
0157-001,2012-13,Mainland Other Urban,0
0157-001,2014-15,Mainland Other Urban,0
0157-005,2012-13,Mainland Other Urban,0
0158-001,2014-15,Mainland Other Urban,0
0159-001,2012-13,Mainland Other Urban,0
0159-001,2014-15,Mainland Other Urban,0
0160-001,2012-13,Mainland Other Urban,0
0160-001,2014-15,Mainland Other Urban,0
0160-002,2014-15,Mainland Other Urban,0
0161-001,2014-15,Mainland Other Urban,0
0161-002,2012-13,Mainland Other Urban,0
0162-001,2012-13,Mainland Other Urban,0
0162-001,2014-15,Mainland Other Urban,0
0163-001,2012-13,Mainland Other Urban,0
0163-001,2014-15,Mainland Other Urban,0
0164-001,2012-13,Mainland Other Urban,0
0164-001,2014-15,Mainland Other Urban,0
0165-001,2012-13,Mainland Other Urban,0
0165-001,2014-15,Mainland Other Urban,0
0166-001,2012-13,Mainland Other Urban,0
0166-001,2014-15,Mainland Other Urban,0
0167-001,2012-13,Mainland Other Urban,0
0167-001,2014-15,Mainland Other Urban,0
0167-002,2012-13,Mainland Other Urban,0
0168-001,2012-13,Mainland Other Urban,0
0168-002,2014-15,Dar Es Salaam,0
0168-004,2012-13,Mainland Rural,1
0169-001,2012-13,Mainland Other Urban,0
0169-001,2014-15,Dar Es Salaam,0
0170-001,2012-13,Mainland Other Urban,0
0170-001,2014-15,Dar Es Salaam,0
0171-001,2012-13,Mainland Other Urban,0
0171-001,2014-15,Dar Es Salaam,0
0172-001,2012-13,Mainland Other Urban,0
0172-004,2014-15,Dar Es Salaam,0
0173-001,2012-13,Mainland Other Urban,0
0173-001,2014-15,Dar Es Salaam,0
0173-003,2014-15,Mainland Rural,1
0174-001,2012-13,Mainland Other Urban,0
0174-002,2014-15,Dar Es Salaam,0
0175-001,2012-13,Mainland Rural,1
0175-001,2014-15,Dar Es Salaam,0
0175-003,2014-15,Dar Es Salaam,0
0175-007,2014-15,Dar Es Salaam,0
0175-008,2014-15,Dar Es Salaam,0
0175-014,2014-15,Dar Es Salaam,0
0176-001,2012-13,Mainland Other Urban,0
0177-001,2014-15,Dar Es Salaam,0
0178-001,2012-13,Mainland Other Urban,0
0178-001,2014-15,Dar Es Salaam,0
0179-001,2012-13,Mainland Other Urban,0
0179-001,2014-15,Dar Es Salaam,0
0180-001,2012-13,Mainland Other Urban,0
0180-001,2014-15,Dar Es Salaam,0
0181-001,2012-13,Mainland Other Urban,0
0181-001,2014-15,Mainland Rural,1
0182-001,2012-13,Mainland Rural,1
0182-001,2014-15,Dar Es Salaam,0
0182-002,2012-13,Mainland Other Urban,0
0183-001,2012-13,Mainland Rural,1
0183-002,2014-15,Mainland Other Urban,0
0184-001,2012-13,Mainland Rural,1
0184-001,2014-15,Dar Es Salaam,0
0184-004,2012-13,Mainland Rural,1
0185-001,2012-13,Mainland Rural,1
0185-001,2014-15,Dar Es Salaam,1
0185-002,2012-13,Mainland Other Urban,0
0186-001,2012-13,Mainland Rural,1
0186-001,2014-15,Dar Es Salaam,0
0186-003,2014-15,Dar Es Salaam,0
0186-004,2014-15,Dar Es Salaam,0
0187-001,2012-13,Mainland Rural,1
0187-001,2014-15,Dar Es Salaam,0
0187-003,2012-13,Mainland Rural,1
0187-004,2012-13,Mainland Rural,1
0187-005,2012-13,Mainland Other Urban,0
0187-006,2012-13,Mainland Other Urban,0
0188-001,2012-13,Mainland Rural,1
0188-001,2014-15,Dar Es Salaam,0
0189-001,2012-13,Mainland Rural,1
0189-001,2014-15,Dar Es Salaam,0
0190-001,2012-13,Mainland Other Urban,0
0191-001,2012-13,Mainland Other Urban,0
0191-001,2014-15,Dar Es Salaam,0
0192-001,2012-13,Mainland Other Urban,0
0192-001,2014-15,Dar Es Salaam,0
0193-001,2012-13,Mainland Rural,1
0193-001,2014-15,Dar Es Salaam,0
0194-001,2012-13,Mainland Other Urban,0
0194-001,2014-15,Dar Es Salaam,0
0194-005,2014-15,Dar Es Salaam,0
0194-006,2014-15,Dar Es Salaam,0
0194-007,2014-15,Dar Es Salaam,0
0195-001,2012-13,Mainland Other Urban,0
0195-001,2014-15,Dar Es Salaam,0
0195-006,2014-15,Dar Es Salaam,0
0196-001,2012-13,Mainland Other Urban,0
0196-001,2014-15,Dar Es Salaam,0
0197-001,2012-13,Mainland Other Urban,0
0197-001,2014-15,Dar Es Salaam,0
0198-001,2012-13,Mainland Rural,1
